image,label,split,frame_index,timestamp_second,meter_box_xywh_pixels,display_box_xywh_pixels
images/train/full_frame_000000.jpg,labels/train/full_frame_000000.txt,train,0,0.000,"817,296,120,181","835,302,82,57"
images/train/full_frame_000005.jpg,labels/train/full_frame_000005.txt,train,5,0.167,"817,296,120,181","835,302,82,57"
images/train/full_frame_000015.jpg,labels/train/full_frame_000015.txt,train,15,0.500,"817,296,120,181","835,302,82,57"
images/train/full_frame_000020.jpg,labels/train/full_frame_000020.txt,train,20,0.666,"817,296,120,181","835,302,82,57"
images/train/full_frame_000025.jpg,labels/train/full_frame_000025.txt,train,25,0.833,"817,296,120,181","835,302,82,57"
images/train/full_frame_000030.jpg,labels/train/full_frame_000030.txt,train,30,1.000,"817,296,120,181","835,302,82,57"
images/train/full_frame_000040.jpg,labels/train/full_frame_000040.txt,train,40,1.333,"817,296,120,181","835,302,82,57"
images/train/full_frame_000045.jpg,labels/train/full_frame_000045.txt,train,45,1.499,"817,296,120,181","835,302,82,57"
images/train/full_frame_000050.jpg,labels/train/full_frame_000050.txt,train,50,1.666,"817,296,120,181","835,302,82,57"
images/train/full_frame_000055.jpg,labels/train/full_frame_000055.txt,train,55,1.833,"817,296,120,181","835,302,82,57"
images/train/full_frame_000060.jpg,labels/train/full_frame_000060.txt,train,60,1.999,"817,296,120,181","835,302,82,57"
images/train/full_frame_000065.jpg,labels/train/full_frame_000065.txt,train,65,2.166,"817,296,120,181","835,302,82,57"
images/train/full_frame_000070.jpg,labels/train/full_frame_000070.txt,train,70,2.332,"817,296,120,181","835,302,82,57"
images/train/full_frame_000075.jpg,labels/train/full_frame_000075.txt,train,75,2.499,"817,296,120,181","835,302,82,57"
images/train/full_frame_000080.jpg,labels/train/full_frame_000080.txt,train,80,2.666,"817,296,120,181","835,302,82,57"
images/train/full_frame_000085.jpg,labels/train/full_frame_000085.txt,train,85,2.832,"817,296,120,181","835,302,82,57"
images/train/full_frame_000090.jpg,labels/train/full_frame_000090.txt,train,90,2.999,"817,296,120,181","835,302,82,57"
