image_path,roi_name,frame_index,timestamp_second,x,y,width,height,label,full_frame
roi_01/roi_01_frame_000000.jpg,roi_01,0,0.000,817,296,120,181,,
roi_01/roi_01_extra_frame_000005.jpg,roi_01,5,0.167,817,296,120,181,,
roi_01/roi_01_frame_000015.jpg,roi_01,15,0.500,817,296,120,181,,
roi_01/roi_01_extra_frame_000020.jpg,roi_01,20,0.666,817,296,120,181,,
roi_01/roi_01_extra_frame_000025.jpg,roi_01,25,0.833,817,296,120,181,,
roi_01/roi_01_frame_000030.jpg,roi_01,30,1.000,817,296,120,181,,
roi_01/roi_01_extra_frame_000040.jpg,roi_01,40,1.333,817,296,120,181,,
roi_01/roi_01_frame_000045.jpg,roi_01,45,1.499,817,296,120,181,,
roi_01/roi_01_extra_frame_000050.jpg,roi_01,50,1.666,817,296,120,181,,
roi_01/roi_01_extra_frame_000055.jpg,roi_01,55,1.833,817,296,120,181,,
roi_01/roi_01_frame_000060.jpg,roi_01,60,1.999,817,296,120,181,,
roi_01/roi_01_extra_frame_000065.jpg,roi_01,65,2.166,817,296,120,181,,
roi_01/roi_01_extra_frame_000070.jpg,roi_01,70,2.332,817,296,120,181,,
roi_01/roi_01_frame_000075.jpg,roi_01,75,2.499,817,296,120,181,,
roi_01/roi_01_extra_frame_000080.jpg,roi_01,80,2.666,817,296,120,181,,
roi_01/roi_01_extra_frame_000085.jpg,roi_01,85,2.832,817,296,120,181,,
roi_01/roi_01_frame_000090.jpg,roi_01,90,2.999,817,296,120,181,,
roi_01/roi_01_extra_frame_000095.jpg,roi_01,95,3.166,817,296,120,181,,
roi_01/roi_01_extra_frame_000100.jpg,roi_01,100,3.332,817,296,120,181,,
roi_01/roi_01_frame_000105.jpg,roi_01,105,3.499,817,296,120,181,,
roi_01/roi_01_extra_frame_000110.jpg,roi_01,110,3.665,817,296,120,181,,
roi_01/roi_01_extra_frame_000115.jpg,roi_01,115,3.832,817,296,120,181,,
roi_01/roi_01_frame_000120.jpg,roi_01,120,3.999,817,296,120,181,,
