status,roi,frame_index,image_path,reason
kept,roi_01,0,roi_01/roi_01_frame_000000.jpg,valid_target_after_visual_review
kept,roi_01,15,roi_01/roi_01_frame_000015.jpg,valid_target_after_visual_review
kept,roi_01,30,roi_01/roi_01_frame_000030.jpg,valid_target_after_visual_review
kept,roi_01,45,roi_01/roi_01_frame_000045.jpg,valid_target_after_visual_review
kept,roi_01,60,roi_01/roi_01_frame_000060.jpg,valid_target_after_visual_review
kept,roi_01,75,roi_01/roi_01_frame_000075.jpg,valid_target_after_visual_review
kept,roi_01,90,roi_01/roi_01_frame_000090.jpg,valid_target_after_visual_review
kept,roi_01,105,roi_01/roi_01_frame_000105.jpg,valid_target_after_visual_review
kept,roi_01,120,roi_01/roi_01_frame_000120.jpg,valid_target_after_visual_review
kept,roi_01,135,roi_01/roi_01_frame_000135.jpg,valid_target_after_visual_review
kept,roi_01,150,roi_01/roi_01_frame_000150.jpg,valid_target_after_visual_review
kept,roi_01,165,roi_01/roi_01_frame_000165.jpg,valid_target_after_visual_review
kept,roi_01,180,roi_01/roi_01_frame_000180.jpg,valid_target_after_visual_review
kept,roi_01,195,roi_01/roi_01_frame_000195.jpg,valid_target_after_visual_review
kept,roi_01,210,roi_01/roi_01_frame_000210.jpg,valid_target_after_visual_review
removed,roi_01,225,roi_01/roi_01_frame_000225.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,240,roi_01/roi_01_frame_000240.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,255,roi_01/roi_01_frame_000255.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,270,roi_01/roi_01_frame_000270.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,285,roi_01/roi_01_frame_000285.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,300,roi_01/roi_01_frame_000300.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,315,roi_01/roi_01_frame_000315.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,330,roi_01/roi_01_frame_000330.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,345,roi_01/roi_01_frame_000345.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,360,roi_01/roi_01_frame_000360.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,375,roi_01/roi_01_frame_000375.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,390,roi_01/roi_01_frame_000390.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,405,roi_01/roi_01_frame_000405.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,420,roi_01/roi_01_frame_000420.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,435,roi_01/roi_01_frame_000435.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,450,roi_01/roi_01_frame_000450.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,465,roi_01/roi_01_frame_000465.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,480,roi_01/roi_01_frame_000480.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,495,roi_01/roi_01_frame_000495.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,510,roi_01/roi_01_frame_000510.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,525,roi_01/roi_01_frame_000525.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,540,roi_01/roi_01_frame_000540.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,555,roi_01/roi_01_frame_000555.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,570,roi_01/roi_01_frame_000570.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,585,roi_01/roi_01_frame_000585.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,600,roi_01/roi_01_frame_000600.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,615,roi_01/roi_01_frame_000615.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,630,roi_01/roi_01_frame_000630.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,645,roi_01/roi_01_frame_000645.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,660,roi_01/roi_01_frame_000660.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,675,roi_01/roi_01_frame_000675.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,690,roi_01/roi_01_frame_000690.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,705,roi_01/roi_01_frame_000705.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,720,roi_01/roi_01_frame_000720.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,735,roi_01/roi_01_frame_000735.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,750,roi_01/roi_01_frame_000750.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,765,roi_01/roi_01_frame_000765.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,780,roi_01/roi_01_frame_000780.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,795,roi_01/roi_01_frame_000795.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,810,roi_01/roi_01_frame_000810.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,825,roi_01/roi_01_frame_000825.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,840,roi_01/roi_01_frame_000840.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,855,roi_01/roi_01_frame_000855.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,870,roi_01/roi_01_frame_000870.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,885,roi_01/roi_01_frame_000885.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,900,roi_01/roi_01_frame_000900.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,915,roi_01/roi_01_frame_000915.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,930,roi_01/roi_01_frame_000930.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,945,roi_01/roi_01_frame_000945.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,960,roi_01/roi_01_frame_000960.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,975,roi_01/roi_01_frame_000975.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,990,roi_01/roi_01_frame_000990.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1005,roi_01/roi_01_frame_001005.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1020,roi_01/roi_01_frame_001020.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1035,roi_01/roi_01_frame_001035.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1050,roi_01/roi_01_frame_001050.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1065,roi_01/roi_01_frame_001065.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1080,roi_01/roi_01_frame_001080.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1095,roi_01/roi_01_frame_001095.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1110,roi_01/roi_01_frame_001110.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1125,roi_01/roi_01_frame_001125.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1140,roi_01/roi_01_frame_001140.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1155,roi_01/roi_01_frame_001155.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1170,roi_01/roi_01_frame_001170.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1185,roi_01/roi_01_frame_001185.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1200,roi_01/roi_01_frame_001200.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1215,roi_01/roi_01_frame_001215.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1230,roi_01/roi_01_frame_001230.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1245,roi_01/roi_01_frame_001245.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1260,roi_01/roi_01_frame_001260.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1275,roi_01/roi_01_frame_001275.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1290,roi_01/roi_01_frame_001290.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1305,roi_01/roi_01_frame_001305.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1320,roi_01/roi_01_frame_001320.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1335,roi_01/roi_01_frame_001335.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1350,roi_01/roi_01_frame_001350.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1365,roi_01/roi_01_frame_001365.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1380,roi_01/roi_01_frame_001380.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1395,roi_01/roi_01_frame_001395.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1410,roi_01/roi_01_frame_001410.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1425,roi_01/roi_01_frame_001425.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1440,roi_01/roi_01_frame_001440.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1455,roi_01/roi_01_frame_001455.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1470,roi_01/roi_01_frame_001470.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1485,roi_01/roi_01_frame_001485.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1500,roi_01/roi_01_frame_001500.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1515,roi_01/roi_01_frame_001515.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1530,roi_01/roi_01_frame_001530.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1545,roi_01/roi_01_frame_001545.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1560,roi_01/roi_01_frame_001560.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1575,roi_01/roi_01_frame_001575.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1590,roi_01/roi_01_frame_001590.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1605,roi_01/roi_01_frame_001605.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1620,roi_01/roi_01_frame_001620.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1635,roi_01/roi_01_frame_001635.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1650,roi_01/roi_01_frame_001650.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1665,roi_01/roi_01_frame_001665.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1680,roi_01/roi_01_frame_001680.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1695,roi_01/roi_01_frame_001695.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1710,roi_01/roi_01_frame_001710.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1725,roi_01/roi_01_frame_001725.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1740,roi_01/roi_01_frame_001740.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1755,roi_01/roi_01_frame_001755.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1770,roi_01/roi_01_frame_001770.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1785,roi_01/roi_01_frame_001785.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1800,roi_01/roi_01_frame_001800.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1815,roi_01/roi_01_frame_001815.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1830,roi_01/roi_01_frame_001830.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1845,roi_01/roi_01_frame_001845.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1860,roi_01/roi_01_frame_001860.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1875,roi_01/roi_01_frame_001875.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1890,roi_01/roi_01_frame_001890.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1905,roi_01/roi_01_frame_001905.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1920,roi_01/roi_01_frame_001920.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1935,roi_01/roi_01_frame_001935.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1950,roi_01/roi_01_frame_001950.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1965,roi_01/roi_01_frame_001965.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1980,roi_01/roi_01_frame_001980.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,1995,roi_01/roi_01_frame_001995.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2010,roi_01/roi_01_frame_002010.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2025,roi_01/roi_01_frame_002025.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2040,roi_01/roi_01_frame_002040.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2055,roi_01/roi_01_frame_002055.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2070,roi_01/roi_01_frame_002070.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2085,roi_01/roi_01_frame_002085.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2100,roi_01/roi_01_frame_002100.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2115,roi_01/roi_01_frame_002115.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2130,roi_01/roi_01_frame_002130.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2145,roi_01/roi_01_frame_002145.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2160,roi_01/roi_01_frame_002160.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2175,roi_01/roi_01_frame_002175.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2190,roi_01/roi_01_frame_002190.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2205,roi_01/roi_01_frame_002205.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2220,roi_01/roi_01_frame_002220.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2235,roi_01/roi_01_frame_002235.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2250,roi_01/roi_01_frame_002250.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2265,roi_01/roi_01_frame_002265.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2280,roi_01/roi_01_frame_002280.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2295,roi_01/roi_01_frame_002295.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2310,roi_01/roi_01_frame_002310.jpg,not_target_blurry_or_low_quality_after_visual_review
removed,roi_01,2325,roi_01/roi_01_frame_002325.jpg,not_target_blurry_or_low_quality_after_visual_review
