image,label,split,source_roi,frame_index,class_id,class_name
images/train/roi_01_frame_000000.jpg,labels/train/roi_01_frame_000000.txt,train,roi_01,0,0,meter
images/train/roi_01_extra_frame_000005.jpg,labels/train/roi_01_extra_frame_000005.txt,train,roi_01,5,0,meter
images/train/roi_01_frame_000015.jpg,labels/train/roi_01_frame_000015.txt,train,roi_01,15,0,meter
images/train/roi_01_extra_frame_000020.jpg,labels/train/roi_01_extra_frame_000020.txt,train,roi_01,20,0,meter
images/train/roi_01_extra_frame_000025.jpg,labels/train/roi_01_extra_frame_000025.txt,train,roi_01,25,0,meter
images/train/roi_01_frame_000030.jpg,labels/train/roi_01_frame_000030.txt,train,roi_01,30,0,meter
images/train/roi_01_extra_frame_000040.jpg,labels/train/roi_01_extra_frame_000040.txt,train,roi_01,40,0,meter
images/train/roi_01_frame_000045.jpg,labels/train/roi_01_frame_000045.txt,train,roi_01,45,0,meter
images/train/roi_01_extra_frame_000050.jpg,labels/train/roi_01_extra_frame_000050.txt,train,roi_01,50,0,meter
images/train/roi_01_extra_frame_000055.jpg,labels/train/roi_01_extra_frame_000055.txt,train,roi_01,55,0,meter
images/train/roi_01_frame_000060.jpg,labels/train/roi_01_frame_000060.txt,train,roi_01,60,0,meter
images/train/roi_01_extra_frame_000065.jpg,labels/train/roi_01_extra_frame_000065.txt,train,roi_01,65,0,meter
images/train/roi_01_extra_frame_000070.jpg,labels/train/roi_01_extra_frame_000070.txt,train,roi_01,70,0,meter
images/train/roi_01_frame_000075.jpg,labels/train/roi_01_frame_000075.txt,train,roi_01,75,0,meter
images/train/roi_01_extra_frame_000080.jpg,labels/train/roi_01_extra_frame_000080.txt,train,roi_01,80,0,meter
images/train/roi_01_extra_frame_000085.jpg,labels/train/roi_01_extra_frame_000085.txt,train,roi_01,85,0,meter
images/train/roi_01_frame_000090.jpg,labels/train/roi_01_frame_000090.txt,train,roi_01,90,0,meter
images/train/roi_01_extra_frame_000095.jpg,labels/train/roi_01_extra_frame_000095.txt,train,roi_01,95,0,meter
images/train/roi_01_extra_frame_000100.jpg,labels/train/roi_01_extra_frame_000100.txt,train,roi_01,100,0,meter
images/train/roi_01_frame_000105.jpg,labels/train/roi_01_frame_000105.txt,train,roi_01,105,0,meter
images/train/roi_01_extra_frame_000110.jpg,labels/train/roi_01_extra_frame_000110.txt,train,roi_01,110,0,meter
images/train/roi_01_extra_frame_000115.jpg,labels/train/roi_01_extra_frame_000115.txt,train,roi_01,115,0,meter
images/train/roi_01_frame_000120.jpg,labels/train/roi_01_frame_000120.txt,train,roi_01,120,0,meter
images/train/roi_01_extra_frame_000125.jpg,labels/train/roi_01_extra_frame_000125.txt,train,roi_01,125,0,meter
images/train/roi_01_extra_frame_000130.jpg,labels/train/roi_01_extra_frame_000130.txt,train,roi_01,130,0,meter
images/train/roi_01_frame_000135.jpg,labels/train/roi_01_frame_000135.txt,train,roi_01,135,0,meter
images/train/roi_01_extra_frame_000140.jpg,labels/train/roi_01_extra_frame_000140.txt,train,roi_01,140,0,meter
images/train/roi_01_extra_frame_000145.jpg,labels/train/roi_01_extra_frame_000145.txt,train,roi_01,145,0,meter
images/train/roi_01_frame_000150.jpg,labels/train/roi_01_frame_000150.txt,train,roi_01,150,0,meter
images/train/roi_01_extra_frame_000155.jpg,labels/train/roi_01_extra_frame_000155.txt,train,roi_01,155,0,meter
images/train/roi_01_extra_frame_000160.jpg,labels/train/roi_01_extra_frame_000160.txt,train,roi_01,160,0,meter
images/train/roi_01_frame_000165.jpg,labels/train/roi_01_frame_000165.txt,train,roi_01,165,0,meter
